[I][90120][09-06][15:41:35:552][global_config.cpp:527][bolepack][communication]open config file[fillbackconfig/communication.json] success.
[I][90120][09-06][15:41:35:553][inner_type.cpp:63][bolepack][communication]127.0.0.1 , is a loopback iface
[I][90120][09-06][15:41:35:553][inner_type.cpp:111][bolepack][communication]find multicast networks:
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]10.64.38.79
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.1.1
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.2.1
[I][90120][09-06][15:41:35:553][inner_type.cpp:113][bolepack][communication]2.0.0.1
[I][90120][09-06][15:41:35:593][dds_discovery.cpp:56][bolepack][communication]DDSDiscovery::init dis_topic is DiscoveryTopic
[I][90120][09-06][15:41:36:747][zmq_data_writer_impl.cpp:91][bolepack][communication]zmq option[id=1] as below:
ZMQ_SNDHWM=50
ZMQ_RCVHWM=50
ZMQ_LINGER=10
ZMQ_SNDBUF=52428800
ZMQ_RCVBUF=52428800
ZMQ_RATE=1048576
ZMQ_SNDTIMEO=0
ZMQ_RCVTIMEO=1000
ZMQ_RECOVERY_IVL=0
ZMQ_IMMEDIATE=0
ZMQ_HEARTBEAT_IVL=0
ZMQ_IMMEDIATE=0
ZMQ_HEART_BEAT_IVAL=0
ZMQ_HEART_BEAT_TIMEOUT=0;
[I][90120][09-06][15:41:38:916][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1254
[I][108336][09-06][15:41:38:961][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 2
[I][90120][09-06][15:41:38:967][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1287
[I][90120][09-06][15:41:39:025][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1320
[I][90120][09-06][15:41:39:085][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1353
[I][90120][09-06][15:41:39:139][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1386
[I][90120][09-06][15:41:39:209][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1419
[I][90120][09-06][15:41:39:268][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1452
[I][90120][09-06][15:41:39:335][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1485
[I][90120][09-06][15:41:39:387][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1518
[I][90120][09-06][15:41:39:442][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1551
[I][90120][09-06][15:41:39:502][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1584
[I][90120][09-06][15:41:39:580][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1617
[I][90120][09-06][15:41:39:639][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1650
[I][90120][09-06][15:41:39:695][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1683
[I][90120][09-06][15:41:39:750][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1716
[I][90120][09-06][15:41:39:810][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1749
[I][90120][09-06][15:41:39:867][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1782
[I][90120][09-06][15:41:39:922][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1815
[I][90120][09-06][15:41:39:981][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1848
[I][90120][09-06][15:41:40:044][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1881
[I][90120][09-06][15:41:40:099][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1914
[I][90120][09-06][15:41:40:150][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1947
[I][90120][09-06][15:41:40:208][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 1980
[I][90120][09-06][15:41:40:264][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2013
[I][90120][09-06][15:41:40:316][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2046
[I][90120][09-06][15:41:40:373][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2079
[I][90120][09-06][15:41:40:425][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2112
[I][90120][09-06][15:41:40:496][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2145
[I][90120][09-06][15:41:40:553][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2178
[I][90120][09-06][15:41:40:616][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2211
[I][90120][09-06][15:41:40:680][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2244
[I][90120][09-06][15:41:40:739][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2277
[I][90120][09-06][15:41:40:797][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2310
[I][90120][09-06][15:41:40:861][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2343
[I][90120][09-06][15:41:40:934][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2376
[I][108336][09-06][15:41:40:964][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 128
[I][108336][09-06][15:41:40:964][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 4
[I][90120][09-06][15:41:41:000][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2409
[I][90120][09-06][15:41:41:076][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2442
[I][108336][09-06][15:41:41:099][zmq_data_writer_impl.cpp:365][bolepack][communication]zmq writer monitor get event: 2
[I][90120][09-06][15:41:41:130][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2475
[I][90120][09-06][15:41:41:185][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2508
[I][90120][09-06][15:41:41:236][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2541
[I][90120][09-06][15:41:41:294][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2574
[I][90120][09-06][15:41:41:355][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2607
[I][90120][09-06][15:41:41:425][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2640
[I][90120][09-06][15:41:41:490][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2673
[I][90120][09-06][15:41:41:547][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2706
[I][90120][09-06][15:41:41:601][mp4_task.cpp:150][bolepack]topic : ADAS#0, domain_id 0, participant 1, timestamp 2739
